transaction_id,address_id,matched_address,confidence,match_type,reason
none-north-10th-street-unit-3a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-467-bedford-avenue-unit-6-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-444-humboldt-street-unit-2-brooklyn-ny-11211,28AC0AFB5C70764B0C3A849DB5FF04B12DE3BEFF554409F9B909460C2041E2A5E86219F7FBFA5F348E3341B8864C3E80,444 HUMBOLDT ST APT 2,84.62,fuzzy,fuzzy match
none-147-hope-street-unit-3a-brooklyn-ny-11211,0225F286C9EE69E0772FD99F37FC6E10BF9EEA2F4A9D9A46E9AAD4E635716EC6917AA9AB2FE54CA270BCB4CCA09063C5,147 HOPE ST APT 3A,1.0,api,api match
none-union-avenue-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-174-jackson-street-unit-2a-brooklyn-ny-11211,6E665CA373E87645EF0DA4C408606E5F035B9B39BC3B442DF2D9FCE48C1E64E8A47BA6545F00DF0E132625EC2616462A,174 JACKSON ST APT 2A,83.33,fuzzy,fuzzy match
none-withers-street-unit-5e-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bushwick-avenue-unit-2b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-devoe-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-308-north-7th-street-unit-4d-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-705-driggs-avenue-unit-13-brooklyn-ny-11211,29DD408D93D97017061ADB9CAA1C454C9B59FE81CFCA4FB30852DD7E2E42F55BCA978FDA2F6053B8BAA5C18275DDA1D6,705 DRIGGS AVE APT 13,86.96,fuzzy,fuzzy match
none-131-jackson-street-unit-phb-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-154-south-3rd-street-unit-24-brooklyn-ny-11211,92F1A41AF631D57045666C7E803BE201BAA1D75B6D407B6B28F5DB173B540A13905AE7E55B18C24BE159317BA7DCF114,154 S 3RD ST APT 24,1.0,api,api match
none-74-jackson-street-unit-1-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-177-hooper-street-none-brooklyn-ny-11211,C5EF7FAB3A4BC913463AB5087987A6241E73BD2374117C1AA15F026489A5B4E1A42317D1EF493F5BCE5D67D0493BA11A,177 HOOPER ST,81.82,fuzzy,fuzzy match
none-withers-street-unit-ph3-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-179-woodpoint-road-unit-2c-brooklyn-ny-11211,C7806264D112785BAA5BA6BC0F8829099821A20CFEDC67632896479C750E1597782AB709A2CADA9CD4FCDC81C663C58D,179 WOODPOINT RD APT 2C,78.26,phonetic,phonetic match
none-476-union-avenue-unit-ph5a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-264-north-9th-street-none-brooklyn-ny-11211,6DEBA02E7EE0E74F74F9B72054B9C364BCC8C8CF5A9F9071F0F1667467AADF3C5B50DE5E5F1E022269DC889DCBE9CAF2,264 N 9TH ST,1.0,api,api match
none-218-north-5th-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-30-bayard-street-unit-5f-brooklyn-ny-11211,641A96BA5215A3F89B342705086665A193F76A389656FC36B09CB2C57F3F913FC0F8BC7C0B7307B7AB78BB6BA9B1109F,30 BAYARD ST APT 5F,1.0,api,api match
none-512-lorimer-street-none-brooklyn-ny-11211,7102C72BB06E019C552B566F0176B5BD70215B77A2A463A790F225BF627C41E0C3400EA233D50F0231D0142BBE65FBAC,512 LORIMER ST,83.33,fuzzy,fuzzy match
none-bayard-street-unit-2d-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
